Date : 2025-03-21 13:27:45
Directory : d:\Projects\Websites\befikr
Total : 1886 files,  101520 codes, 33945 comments, 21197 blanks, all 156662 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exception\Exception.php                                                                                     | PHP        |          6 |         13 |          3 |         22 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exception\InvalidDirectoryException.php                                                                     | PHP        |         16 |         13 |          3 |         32 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exception\InvalidJsonException.php                                                                          | PHP        |          6 |         13 |          3 |         22 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exception\InvalidVersionOperatorException.php                                                               | PHP        |         16 |         13 |          3 |         32 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exception\PhpProcessException.php                                                                           | PHP        |          7 |         13 |          3 |         23 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exception\XmlException.php                                                                                  | PHP        |          7 |         13 |          3 |         23 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\ExcludeList.php                                                                                             | PHP        |        127 |         61 |         48 |        236 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Exporter.php                                                                                                | PHP        |         30 |         14 |          9 |         53 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Filesystem.php                                                                                              | PHP        |         27 |         18 |          7 |         52 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Filter.php                                                                                                  | PHP        |         89 |         28 |         16 |        133 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\GlobalState.php                                                                                             | PHP        |        224 |         37 |         41 |        302 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Http\Downloader.php                                                                                         | PHP        |          6 |         16 |          2 |         24 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Http\PhpDownloader.php                                                                                      | PHP        |         10 |         18 |          3 |         31 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Json.php                                                                                                    | PHP        |         50 |         37 |         15 |        102 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\PHP\DefaultJobRunner.php                                                                                    | PHP        |        165 |         34 |         47 |        246 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\PHP\Job.php                                                                                                 | PHP        |         59 |         63 |         17 |        139 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\PHP\JobRunner.php                                                                                           | PHP        |         34 |         16 |         12 |         62 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\PHP\JobRunnerRegistry.php                                                                                   | PHP        |         37 |         16 |          8 |         61 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\PHP\Result.php                                                                                              | PHP        |         20 |         15 |          5 |         40 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Reflection.php                                                                                              | PHP        |         65 |         34 |         19 |        118 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Test.php                                                                                                    | PHP        |         36 |         16 |          8 |         60 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\ThrowableToStringMapper.php                                                                                 | PHP        |         31 |         13 |          9 |         53 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\VersionComparisonOperator.php                                                                               | PHP        |         22 |         29 |          7 |         58 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Xml\Loader.php                                                                                              | PHP        |         59 |         19 |         15 |         93 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Util\Xml\Xml.php                                                                                                 | PHP        |         52 |         21 |          9 |         82 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\ChangeLog.md                                                                                                    | Markdown   |         29 |          0 |         23 |         52 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\README.md                                                                                                       | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\SECURITY.md                                                                                                     | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\composer.json                                                                                                   | JSON       |         42 |          0 |          1 |         43 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\src\Parser.php                                                                                                  | PHP        |        135 |         35 |         42 |        212 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\src\exceptions\AmbiguousOptionException.php                                                                     | PHP        |         16 |          8 |          3 |         27 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\src\exceptions\Exception.php                                                                                    | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\src\exceptions\OptionDoesNotAllowArgumentException.php                                                          | PHP        |         16 |          8 |          3 |         27 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\src\exceptions\RequiredOptionArgumentMissingException.php                                                       | PHP        |         16 |          8 |          3 |         27 |
| d:\Projects\Websites\befikr\vendor\sebastian\cli-parser\src\exceptions\UnknownOptionException.php                                                                       | PHP        |         16 |          8 |          3 |         27 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit-reverse-lookup\ChangeLog.md                                                                                      | Markdown   |         33 |          0 |         27 |         60 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit-reverse-lookup\README.md                                                                                         | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit-reverse-lookup\SECURITY.md                                                                                       | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit-reverse-lookup\composer.json                                                                                     | JSON       |         40 |          0 |          1 |         41 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit-reverse-lookup\src\Wizard.php                                                                                    | PHP        |         88 |         17 |         28 |        133 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\ChangeLog.md                                                                                                     | Markdown   |         61 |          0 |         46 |        107 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\README.md                                                                                                        | Markdown   |         16 |          0 |          9 |         25 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\SECURITY.md                                                                                                      | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\composer.json                                                                                                    | JSON       |         52 |          0 |          1 |         53 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\ClassMethodUnit.php                                                                                          | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\ClassUnit.php                                                                                                | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\CodeUnit.php                                                                                                 | PHP        |        307 |        167 |         55 |        529 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\CodeUnitCollection.php                                                                                       | PHP        |         43 |         23 |         10 |         76 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\CodeUnitCollectionIterator.php                                                                               | PHP        |         32 |         14 |          9 |         55 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\FileUnit.php                                                                                                 | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\FunctionUnit.php                                                                                             | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\InterfaceMethodUnit.php                                                                                      | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\InterfaceUnit.php                                                                                            | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\Mapper.php                                                                                                   | PHP        |        131 |         37 |         35 |        203 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\TraitMethodUnit.php                                                                                          | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\TraitUnit.php                                                                                                | PHP        |          9 |         11 |          2 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\exceptions\Exception.php                                                                                     | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\exceptions\InvalidCodeUnitException.php                                                                      | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\exceptions\NoTraitException.php                                                                              | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\code-unit\src\exceptions\ReflectionException.php                                                                           | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\ChangeLog.md                                                                                                    | Markdown   |        142 |          0 |        103 |        245 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\README.md                                                                                                       | Markdown   |         30 |          0 |         13 |         43 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\SECURITY.md                                                                                                     | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\composer.json                                                                                                   | JSON       |         65 |          0 |          1 |         66 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\ArrayComparator.php                                                                                         | PHP        |         92 |         19 |         21 |        132 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\Comparator.php                                                                                              | PHP        |         16 |         11 |          6 |         33 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\ComparisonFailure.php                                                                                       | PHP        |         48 |          8 |         13 |         69 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\DOMNodeComparator.php                                                                                       | PHP        |         63 |         17 |         19 |         99 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\DateTimeComparator.php                                                                                      | PHP        |         43 |         13 |          9 |         65 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\EnumerationComparator.php                                                                                   | PHP        |         34 |         11 |          6 |         51 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\ExceptionComparator.php                                                                                     | PHP        |         24 |         14 |          7 |         45 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\Factory.php                                                                                                 | PHP        |         77 |         27 |         20 |        124 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\MockObjectComparator.php                                                                                    | PHP        |         25 |         14 |          8 |         47 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\NumberComparator.php                                                                                        | PHP        |         39 |         13 |          9 |         61 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\NumericComparator.php                                                                                       | PHP        |         56 |         12 |         10 |         78 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\ObjectComparator.php                                                                                        | PHP        |         63 |         21 |         10 |         94 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\ResourceComparator.php                                                                                      | PHP        |         26 |         11 |          6 |         43 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\ScalarComparator.php                                                                                        | PHP        |        109 |         26 |         24 |        159 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\SplObjectStorageComparator.php                                                                              | PHP        |         40 |         11 |          7 |         58 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\TypeComparator.php                                                                                          | PHP        |         28 |         12 |          4 |         44 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\exceptions\Exception.php                                                                                    | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\comparator\src\exceptions\RuntimeException.php                                                                             | PHP        |          5 |          8 |          2 |         15 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\ChangeLog.md                                                                                                    | Markdown   |         49 |          0 |         36 |         85 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\README.md                                                                                                       | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\SECURITY.md                                                                                                     | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\composer.json                                                                                                   | JSON       |         43 |          0 |          1 |         44 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Calculator.php                                                                                              | PHP        |         56 |         26 |         14 |         96 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Complexity\Complexity.php                                                                                   | PHP        |         29 |         27 |          9 |         65 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Complexity\ComplexityCollection.php                                                                         | PHP        |         89 |         28 |         18 |        135 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Complexity\ComplexityCollectionIterator.php                                                                 | PHP        |         32 |         14 |          9 |         55 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Exception\Exception.php                                                                                     | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Exception\RuntimeException.php                                                                              | PHP        |          5 |          8 |          2 |         15 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Visitor\ComplexityCalculatingVisitor.php                                                                    | PHP        |         83 |         23 |         28 |        134 |
| d:\Projects\Websites\befikr\vendor\sebastian\complexity\src\Visitor\CyclomaticComplexityCalculatingVisitor.php                                                          | PHP        |         43 |         14 |          5 |         62 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\ChangeLog.md                                                                                                          | Markdown   |        100 |          0 |         73 |        173 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\README.md                                                                                                             | Markdown   |        154 |          0 |         52 |        206 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\SECURITY.md                                                                                                           | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\composer.json                                                                                                         | JSON       |         51 |          0 |          1 |         52 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Chunk.php                                                                                                         | PHP        |         54 |         23 |         13 |         90 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Diff.php                                                                                                          | PHP        |         37 |         37 |         11 |         85 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Differ.php                                                                                                        | PHP        |        175 |         22 |         51 |        248 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Exception\ConfigurationException.php                                                                              | PHP        |         22 |          8 |          3 |         33 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Exception\Exception.php                                                                                           | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Exception\InvalidArgumentException.php                                                                            | PHP        |          5 |          8 |          2 |         15 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Line.php                                                                                                          | PHP        |         35 |          8 |          8 |         51 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\LongestCommonSubsequenceCalculator.php                                                                            | PHP        |          6 |         11 |          2 |         19 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\MemoryEfficientLongestCommonSubsequenceCalculator.php                                                             | PHP        |         67 |         16 |         15 |         98 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Output\AbstractChunkOutputBuilder.php                                                                             | PHP        |         34 |         12 |          7 |         53 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Output\DiffOnlyOutputBuilder.php                                                                                  | PHP        |         46 |         12 |         13 |         71 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Output\DiffOutputBuilderInterface.php                                                                             | PHP        |          6 |         12 |          2 |         20 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Output\StrictUnifiedDiffOutputBuilder.php                                                                         | PHP        |        222 |         45 |         60 |        327 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Output\UnifiedDiffOutputBuilder.php                                                                               | PHP        |        175 |         35 |         48 |        258 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\Parser.php                                                                                                        | PHP        |         76 |         14 |         23 |        113 |
| d:\Projects\Websites\befikr\vendor\sebastian\diff\src\TimeEfficientLongestCommonSubsequenceCalculator.php                                                               | PHP        |         59 |         12 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\sebastian\environment\ChangeLog.md                                                                                                   | Markdown   |        139 |          0 |        104 |        243 |
| d:\Projects\Websites\befikr\vendor\sebastian\environment\README.md                                                                                                      | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\environment\SECURITY.md                                                                                                    | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\environment\composer.json                                                                                                  | JSON       |         44 |          0 |          1 |         45 |
| d:\Projects\Websites\befikr\vendor\sebastian\environment\src\Console.php                                                                                                | PHP        |        129 |         42 |         30 |        201 |
| d:\Projects\Websites\befikr\vendor\sebastian\environment\src\Runtime.php                                                                                                | PHP        |        163 |         62 |         40 |        265 |
| d:\Projects\Websites\befikr\vendor\sebastian\exporter\ChangeLog.md                                                                                                      | Markdown   |        116 |          0 |         90 |        206 |
| d:\Projects\Websites\befikr\vendor\sebastian\exporter\README.md                                                                                                         | Markdown   |        132 |          0 |         44 |        176 |
| d:\Projects\Websites\befikr\vendor\sebastian\exporter\SECURITY.md                                                                                                       | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\exporter\composer.json                                                                                                     | JSON       |         64 |          0 |          2 |         66 |
| d:\Projects\Websites\befikr\vendor\sebastian\exporter\src\Exporter.php                                                                                                  | PHP        |        305 |         78 |         78 |        461 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\ChangeLog.md                                                                                                  | Markdown   |         74 |          0 |         56 |        130 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\README.md                                                                                                     | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\SECURITY.md                                                                                                   | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\composer.json                                                                                                 | JSON       |         52 |          0 |          1 |         53 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\src\CodeExporter.php                                                                                          | PHP        |         80 |         11 |         19 |        110 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\src\ExcludeList.php                                                                                           | PHP        |         68 |         49 |         22 |        139 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\src\Restorer.php                                                                                              | PHP        |         81 |          8 |         18 |        107 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\src\Snapshot.php                                                                                              | PHP        |        282 |         87 |         79 |        448 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\src\exceptions\Exception.php                                                                                  | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\global-state\src\exceptions\RuntimeException.php                                                                           | PHP        |          5 |          8 |          2 |         15 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\ChangeLog.md                                                                                                 | Markdown   |         40 |          0 |         31 |         71 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\README.md                                                                                                    | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\SECURITY.md                                                                                                  | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\composer.json                                                                                                | JSON       |         43 |          0 |          1 |         44 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\Counter.php                                                                                              | PHP        |         52 |         25 |         15 |         92 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\Exception\Exception.php                                                                                  | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\Exception\IllogicalValuesException.php                                                                   | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\Exception\NegativeValueException.php                                                                     | PHP        |          6 |          8 |          3 |         17 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\Exception\RuntimeException.php                                                                           | PHP        |          5 |          8 |          2 |         15 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\LineCountingVisitor.php                                                                                  | PHP        |         53 |         23 |         17 |         93 |
| d:\Projects\Websites\befikr\vendor\sebastian\lines-of-code\src\LinesOfCode.php                                                                                          | PHP        |         56 |         48 |         16 |        120 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-enumerator\ChangeLog.md                                                                                             | Markdown   |         61 |          0 |         49 |        110 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-enumerator\README.md                                                                                                | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-enumerator\SECURITY.md                                                                                              | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-enumerator\composer.json                                                                                            | JSON       |         47 |          0 |          1 |         48 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-enumerator\src\Enumerator.php                                                                                       | PHP        |         42 |         17 |         13 |         72 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-reflector\ChangeLog.md                                                                                              | Markdown   |         45 |          0 |         36 |         81 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-reflector\README.md                                                                                                 | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-reflector\SECURITY.md                                                                                               | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-reflector\composer.json                                                                                             | JSON       |         45 |          0 |          1 |         46 |
| d:\Projects\Websites\befikr\vendor\sebastian\object-reflector\src\ObjectReflector.php                                                                                   | PHP        |         24 |         11 |          7 |         42 |
| d:\Projects\Websites\befikr\vendor\sebastian\recursion-context\ChangeLog.md                                                                                             | Markdown   |         39 |          0 |         30 |         69 |
| d:\Projects\Websites\befikr\vendor\sebastian\recursion-context\README.md                                                                                                | Markdown   |         13 |          0 |          7 |         20 |
| d:\Projects\Websites\befikr\vendor\sebastian\recursion-context\SECURITY.md                                                                                              | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\recursion-context\composer.json                                                                                            | JSON       |         48 |          0 |          1 |         49 |
| d:\Projects\Websites\befikr\vendor\sebastian\recursion-context\src\Context.php                                                                                          | PHP        |         86 |         45 |         24 |        155 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\ChangeLog.md                                                                                                          | Markdown   |        126 |          0 |         86 |        212 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\README.md                                                                                                             | Markdown   |         14 |          0 |          8 |         22 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\SECURITY.md                                                                                                           | Markdown   |         18 |          0 |         13 |         31 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\composer.json                                                                                                         | JSON       |         51 |          0 |          1 |         52 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\infection.json                                                                                                        | JSON       |         12 |          0 |          1 |         13 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\Parameter.php                                                                                                     | PHP        |         20 |         20 |          5 |         45 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\ReflectionMapper.php                                                                                              | PHP        |        165 |         14 |         51 |        230 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\TypeName.php                                                                                                      | PHP        |         59 |         29 |         18 |        106 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\exception\Exception.php                                                                                           | PHP        |          6 |         11 |          3 |         20 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\exception\RuntimeException.php                                                                                    | PHP        |          5 |         11 |          2 |         18 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\CallableType.php                                                                                             | PHP        |        130 |         14 |         39 |        183 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\FalseType.php                                                                                                | PHP        |         26 |         14 |          6 |         46 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\GenericObjectType.php                                                                                        | PHP        |         32 |         14 |          9 |         55 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\IntersectionType.php                                                                                         | PHP        |         78 |         35 |         22 |        135 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\IterableType.php                                                                                             | PHP        |         44 |         17 |         14 |         75 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\MixedType.php                                                                                                | PHP        |         25 |         17 |          6 |         48 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\NeverType.php                                                                                                | PHP        |         21 |         14 |          5 |         40 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\NullType.php                                                                                                 | PHP        |         25 |         17 |          6 |         48 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\ObjectType.php                                                                                               | PHP        |         45 |         14 |         12 |         71 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\SimpleType.php                                                                                               | PHP        |         58 |         25 |         15 |         98 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\StaticType.php                                                                                               | PHP        |         42 |         14 |         12 |         68 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\TrueType.php                                                                                                 | PHP        |         26 |         14 |          6 |         46 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\Type.php                                                                                                     | PHP        |        112 |         63 |         29 |        204 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\UnionType.php                                                                                                | PHP        |         92 |         32 |         24 |        148 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\UnknownType.php                                                                                              | PHP        |         25 |         17 |          6 |         48 |
| d:\Projects\Websites\befikr\vendor\sebastian\type\src\type\VoidType.php                                                                                                 | PHP        |         21 |         14 |          5 |         40 |
| d:\Projects\Websites\befikr\vendor\sebastian\version\ChangeLog.md                                                                                                       | Markdown   |         36 |          0 |         29 |         65 |
| d:\Projects\Websites\befikr\vendor\sebastian\version\README.md                                                                                                          | Markdown   |         33 |          0 |         18 |         51 |
| d:\Projects\Websites\befikr\vendor\sebastian\version\SECURITY.md                                                                                                        | Markdown   |         18 |          0 |         13 |         31 |
